"dteday","season","yr","mnth","hr","holiday","weekday","workingday","weathersit","temp","atemp","hum","windspeed","casual","registered","cnt"
14975,1,0,1,0,0,6,0,1,0.24,0.2879,0.81,0,3,13,16
14975,1,0,1,1,0,6,0,1,0.22,0.2727,0.8,0,8,32,40
14975,1,0,1,2,0,6,0,1,0.22,0.2727,0.8,0,5,27,32
14975,1,0,1,3,0,6,0,1,0.24,0.2879,0.75,0,3,10,13
14975,1,0,1,4,0,6,0,1,0.24,0.2879,0.75,0,0,1,1
14975,1,0,1,5,0,6,0,2,0.24,0.2576,0.75,0.0896,0,1,1
14975,1,0,1,6,0,6,0,1,0.22,0.2727,0.8,0,2,0,2
14975,1,0,1,7,0,6,0,1,0.2,0.2576,0.86,0,1,2,3
14975,1,0,1,8,0,6,0,1,0.24,0.2879,0.75,0,1,7,8
14975,1,0,1,9,0,6,0,1,0.32,0.3485,0.76,0,8,6,14
14975,1,0,1,10,0,6,0,1,0.38,0.3939,0.76,0.2537,12,24,36
14975,1,0,1,11,0,6,0,1,0.36,0.3333,0.81,0.2836,26,30,56
14975,1,0,1,12,0,6,0,1,0.42,0.4242,0.77,0.2836,29,55,84
14975,1,0,1,13,0,6,0,2,0.46,0.4545,0.72,0.2985,47,47,94
14975,1,0,1,14,0,6,0,2,0.46,0.4545,0.72,0.2836,35,71,106
14975,1,0,1,15,0,6,0,2,0.44,0.4394,0.77,0.2985,40,70,110
14975,1,0,1,16,0,6,0,2,0.42,0.4242,0.82,0.2985,41,52,93
14975,1,0,1,17,0,6,0,2,0.44,0.4394,0.82,0.2836,15,52,67
14975,1,0,1,18,0,6,0,3,0.42,0.4242,0.88,0.2537,9,26,35
14975,1,0,1,19,0,6,0,3,0.42,0.4242,0.88,0.2537,6,31,37
14975,1,0,1,20,0,6,0,2,0.4,0.4091,0.87,0.2537,11,25,36
14975,1,0,1,21,0,6,0,2,0.4,0.4091,0.87,0.194,3,31,34
14975,1,0,1,22,0,6,0,2,0.4,0.4091,0.94,0.2239,11,17,28
14975,1,0,1,23,0,6,0,2,0.46,0.4545,0.88,0.2985,15,24,39
14976,1,0,1,0,0,0,0,2,0.46,0.4545,0.88,0.2985,4,13,17
14976,1,0,1,1,0,0,0,2,0.44,0.4394,0.94,0.2537,1,16,17
14976,1,0,1,2,0,0,0,2,0.42,0.4242,1,0.2836,1,8,9
14976,1,0,1,3,0,0,0,2,0.46,0.4545,0.94,0.194,2,4,6
14976,1,0,1,4,0,0,0,2,0.46,0.4545,0.94,0.194,2,1,3
14976,1,0,1,6,0,0,0,3,0.42,0.4242,0.77,0.2985,0,2,2
14976,1,0,1,7,0,0,0,2,0.4,0.4091,0.76,0.194,0,1,1
14976,1,0,1,8,0,0,0,3,0.4,0.4091,0.71,0.2239,0,8,8
14976,1,0,1,9,0,0,0,2,0.38,0.3939,0.76,0.2239,1,19,20
14976,1,0,1,10,0,0,0,2,0.36,0.3485,0.81,0.2239,7,46,53
14976,1,0,1,11,0,0,0,2,0.36,0.3333,0.71,0.2537,16,54,70
14976,1,0,1,12,0,0,0,2,0.36,0.3333,0.66,0.2985,20,73,93
14976,1,0,1,13,0,0,0,2,0.36,0.3485,0.66,0.1343,11,64,75
14976,1,0,1,14,0,0,0,3,0.36,0.3485,0.76,0.194,4,55,59
14976,1,0,1,15,0,0,0,3,0.34,0.3333,0.81,0.1642,19,55,74
14976,1,0,1,16,0,0,0,3,0.34,0.3333,0.71,0.1642,9,67,76
14976,1,0,1,17,0,0,0,1,0.34,0.3333,0.57,0.194,7,58,65
14976,1,0,1,18,0,0,0,2,0.36,0.3333,0.46,0.3284,10,43,53
14976,1,0,1,19,0,0,0,1,0.32,0.2879,0.42,0.4478,1,29,30
14976,1,0,1,20,0,0,0,1,0.3,0.2727,0.39,0.3582,5,17,22
14976,1,0,1,21,0,0,0,1,0.26,0.2273,0.44,0.3284,11,20,31
14976,1,0,1,22,0,0,0,1,0.24,0.2121,0.44,0.2985,0,9,9
14976,1,0,1,23,0,0,0,1,0.22,0.2273,0.47,0.1642,0,8,8
14977,1,0,1,0,0,1,1,1,0.22,0.197,0.44,0.3582,0,5,5
14977,1,0,1,1,0,1,1,1,0.2,0.1667,0.44,0.4179,0,2,2
14977,1,0,1,4,0,1,1,1,0.16,0.1364,0.47,0.3881,0,1,1
14977,1,0,1,5,0,1,1,1,0.16,0.1364,0.47,0.2836,0,3,3
14977,1,0,1,6,0,1,1,1,0.14,0.1061,0.5,0.3881,0,30,30
14977,1,0,1,7,0,1,1,1,0.14,0.1364,0.5,0.194,1,63,64
14977,1,0,1,8,0,1,1,1,0.14,0.1212,0.5,0.2836,1,153,154
14977,1,0,1,9,0,1,1,1,0.16,0.1364,0.43,0.3881,7,81,88
14977,1,0,1,10,0,1,1,1,0.18,0.1667,0.43,0.2537,11,33,44
14977,1,0,1,11,0,1,1,1,0.2,0.1818,0.4,0.3284,10,41,51
14977,1,0,1,12,0,1,1,1,0.22,0.2121,0.35,0.2985,13,48,61
14977,1,0,1,13,0,1,1,1,0.24,0.2121,0.35,0.2836,8,53,61
14977,1,0,1,14,0,1,1,1,0.26,0.2424,0.3,0.2836,11,66,77
14977,1,0,1,15,0,1,1,1,0.26,0.2424,0.3,0.2537,14,58,72
14977,1,0,1,16,0,1,1,1,0.26,0.2424,0.3,0.2537,9,67,76
14977,1,0,1,17,0,1,1,1,0.24,0.2273,0.3,0.2239,11,146,157
14977,1,0,1,18,0,1,1,1,0.24,0.2576,0.32,0.1045,9,148,157
14977,1,0,1,19,0,1,1,1,0.2,0.2576,0.47,0,8,102,110
14977,1,0,1,20,0,1,1,1,0.2,0.2273,0.47,0.1045,3,49,52
14977,1,0,1,21,0,1,1,1,0.18,0.197,0.64,0.1343,3,49,52
14977,1,0,1,22,0,1,1,1,0.14,0.1515,0.69,0.1343,0,20,20
14977,1,0,1,23,0,1,1,1,0.18,0.2121,0.55,0.1045,1,11,12
14978,1,0,1,0,0,2,1,1,0.16,0.1818,0.55,0.1045,0,5,5
14978,1,0,1,1,0,2,1,1,0.16,0.1818,0.59,0.1045,0,2,2
14978,1,0,1,2,0,2,1,1,0.14,0.1515,0.63,0.1343,0,1,1
14978,1,0,1,4,0,2,1,1,0.14,0.1818,0.63,0.0896,0,2,2
14978,1,0,1,5,0,2,1,1,0.12,0.1515,0.68,0.1045,0,4,4
14978,1,0,1,6,0,2,1,1,0.12,0.1515,0.74,0.1045,0,36,36
14978,1,0,1,7,0,2,1,1,0.12,0.1515,0.74,0.1343,2,92,94
14978,1,0,1,8,0,2,1,1,0.14,0.1515,0.69,0.1642,2,177,179
14978,1,0,1,9,0,2,1,1,0.16,0.1515,0.64,0.2239,2,98,100
14978,1,0,1,10,0,2,1,2,0.16,0.1364,0.69,0.3284,5,37,42
14978,1,0,1,11,0,2,1,1,0.22,0.2121,0.51,0.2985,7,50,57
14978,1,0,1,12,0,2,1,1,0.22,0.2273,0.51,0.1642,12,66,78
14978,1,0,1,13,0,2,1,1,0.24,0.2273,0.56,0.194,18,79,97
14978,1,0,1,14,0,2,1,1,0.26,0.2576,0.52,0.2239,9,54,63
14978,1,0,1,15,0,2,1,1,0.28,0.2727,0.52,0.2537,17,48,65
14978,1,0,1,16,0,2,1,1,0.3,0.2879,0.49,0.2537,15,68,83
14978,1,0,1,17,0,2,1,1,0.28,0.2727,0.48,0.2239,10,202,212
14978,1,0,1,18,0,2,1,1,0.26,0.2576,0.48,0.194,3,179,182
14978,1,0,1,19,0,2,1,1,0.24,0.2576,0.48,0.1045,2,110,112
14978,1,0,1,20,0,2,1,1,0.24,0.2576,0.48,0.1045,1,53,54
14978,1,0,1,21,0,2,1,1,0.22,0.2727,0.64,0,0,48,48
14978,1,0,1,22,0,2,1,1,0.22,0.2576,0.64,0.0896,1,34,35
14978,1,0,1,23,0,2,1,1,0.2,0.2273,0.69,0.0896,2,9,11
14979,1,0,1,0,0,3,1,1,0.2,0.2576,0.64,0,0,6,6
14979,1,0,1,1,0,3,1,1,0.16,0.197,0.74,0.0896,0,6,6
14979,1,0,1,2,0,3,1,1,0.16,0.197,0.74,0.0896,0,2,2
14979,1,0,1,4,0,3,1,1,0.24,0.2273,0.48,0.2239,0,2,2
14979,1,0,1,5,0,3,1,1,0.22,0.2273,0.47,0.1642,0,3,3
14979,1,0,1,6,0,3,1,1,0.2,0.197,0.47,0.2239,0,33,33
14979,1,0,1,7,0,3,1,1,0.18,0.1818,0.43,0.194,1,87,88
14979,1,0,1,8,0,3,1,1,0.2,0.1818,0.4,0.2985,3,192,195
14979,1,0,1,9,0,3,1,1,0.22,0.197,0.37,0.3284,6,109,115
14979,1,0,1,10,0,3,1,1,0.22,0.197,0.37,0.3284,4,53,57
14979,1,0,1,11,0,3,1,1,0.26,0.2273,0.33,0.3284,12,34,46
14979,1,0,1,12,0,3,1,1,0.26,0.2273,0.33,0.3284,5,74,79
14979,1,0,1,13,0,3,1,1,0.28,0.2576,0.3,0.2985,6,65,71
14979,1,0,1,14,0,3,1,1,0.3,0.2879,0.28,0.194,10,52,62
14979,1,0,1,15,0,3,1,1,0.3,0.2879,0.28,0.194,7,55,62
14979,1,0,1,16,0,3,1,1,0.3,0.3182,0.28,0.0896,4,85,89
14979,1,0,1,17,0,3,1,1,0.24,0.2273,0.38,0.194,4,186,190
14979,1,0,1,18,0,3,1,1,0.24,0.2424,0.38,0.1343,3,166,169
14979,1,0,1,19,0,3,1,1,0.24,0.2576,0.38,0.1045,5,127,132
14979,1,0,1,20,0,3,1,1,0.22,0.2273,0.47,0.1642,7,82,89
14979,1,0,1,21,0,3,1,1,0.2,0.197,0.51,0.194,3,40,43
14979,1,0,1,22,0,3,1,1,0.18,0.197,0.55,0.1343,1,41,42
14979,1,0,1,23,0,3,1,1,0.2,0.2576,0.47,0,1,18,19
14980,1,0,1,0,0,4,1,1,0.18,0.2424,0.55,0,0,11,11
14980,1,0,1,1,0,4,1,1,0.16,0.2273,0.64,0,0,4,4
14980,1,0,1,2,0,4,1,1,0.16,0.2273,0.64,0,0,2,2
14980,1,0,1,4,0,4,1,2,0.16,0.197,0.64,0.0896,0,1,1
14980,1,0,1,5,0,4,1,2,0.14,0.1818,0.69,0.0896,0,4,4
14980,1,0,1,6,0,4,1,2,0.14,0.1667,0.63,0.1045,0,36,36
14980,1,0,1,7,0,4,1,2,0.16,0.2273,0.59,0,0,95,95
14980,1,0,1,8,0,4,1,1,0.16,0.2273,0.59,0,3,216,219
14980,1,0,1,9,0,4,1,2,0.18,0.2424,0.51,0,6,116,122
14980,1,0,1,10,0,4,1,1,0.2,0.2576,0.47,0,3,42,45
14980,1,0,1,11,0,4,1,1,0.22,0.2576,0.44,0.0896,2,57,59
14980,1,0,1,12,0,4,1,1,0.26,0.2879,0.35,0,6,78,84
14980,1,0,1,13,0,4,1,1,0.26,0.2727,0.35,0.1045,12,55,67
14980,1,0,1,14,0,4,1,1,0.28,0.2727,0.36,0.1642,11,59,70
14980,1,0,1,15,0,4,1,1,0.28,0.2727,0.36,0,8,54,62
14980,1,0,1,16,0,4,1,1,0.26,0.2576,0.38,0.1642,12,74,86
14980,1,0,1,17,0,4,1,1,0.22,0.2273,0.51,0.1642,9,163,172
14980,1,0,1,18,0,4,1,1,0.22,0.2273,0.51,0.1343,5,158,163
14980,1,0,1,19,0,4,1,1,0.22,0.2576,0.55,0.0896,3,109,112
14980,1,0,1,20,0,4,1,1,0.2,0.2121,0.51,0.1642,3,66,69
14980,1,0,1,21,0,4,1,2,0.22,0.2121,0.55,0.2239,0,48,48
14980,1,0,1,22,0,4,1,2,0.22,0.2121,0.51,0.2836,1,51,52
14980,1,0,1,23,0,4,1,2,0.2,0.197,0.59,0.194,4,19,23
14981,1,0,1,0,0,5,1,2,0.2,0.197,0.64,0.194,4,13,17
14981,1,0,1,1,0,5,1,2,0.2,0.197,0.69,0.2239,2,5,7
14981,1,0,1,2,0,5,1,2,0.2,0.197,0.69,0.2239,0,1,1
14981,1,0,1,4,0,5,1,2,0.2,0.2121,0.69,0.1343,0,1,1
14981,1,0,1,5,0,5,1,3,0.22,0.2727,0.55,0,0,5,5
14981,1,0,1,6,0,5,1,2,0.2,0.2576,0.69,0,8,26,34
14981,1,0,1,7,0,5,1,1,0.2,0.2121,0.69,0.1343,8,76,84
14981,1,0,1,8,0,5,1,1,0.2,0.197,0.51,0.2537,20,190,210
14981,1,0,1,9,0,5,1,1,0.2,0.1818,0.47,0.2985,9,125,134
14981,1,0,1,10,0,5,1,1,0.22,0.197,0.37,0.3284,16,47,63
14981,1,0,1,11,0,5,1,2,0.2,0.197,0.4,0.2239,19,48,67
14981,1,0,1,12,0,5,1,2,0.2,0.197,0.37,0.2537,9,50,59
14981,1,0,1,13,0,5,1,2,0.2,0.1818,0.37,0.2836,9,64,73
14981,1,0,1,14,0,5,1,2,0.2,0.197,0.4,0.2537,7,43,50
14981,1,0,1,15,0,5,1,2,0.2,0.2121,0.37,0.1642,9,63,72
14981,1,0,1,16,0,5,1,2,0.2,0.2121,0.37,0.1642,5,82,87
14981,1,0,1,17,0,5,1,2,0.2,0.2576,0.37,0,9,178,187
14981,1,0,1,18,0,5,1,1,0.2,0.2273,0.4,0.0896,7,116,123
14981,1,0,1,19,0,5,1,1,0.16,0.197,0.55,0.0896,3,92,95
14981,1,0,1,20,0,5,1,1,0.18,0.2121,0.47,0.1045,1,50,51
14981,1,0,1,21,0,5,1,1,0.18,0.197,0.47,0.1343,0,39,39
14981,1,0,1,22,0,5,1,2,0.18,0.197,0.43,0.1642,2,34,36
14981,1,0,1,23,0,5,1,2,0.18,0.197,0.51,0.1642,1,14,15
14982,1,0,1,0,0,6,0,2,0.18,0.197,0.51,0.1642,1,24,25
14982,1,0,1,1,0,6,0,2,0.18,0.2121,0.55,0.0896,1,15,16
14982,1,0,1,2,0,6,0,2,0.18,0.2424,0.55,0,3,13,16
14982,1,0,1,3,0,6,0,3,0.18,0.197,0.55,0.1642,0,7,7
14982,1,0,1,4,0,6,0,3,0.18,0.197,0.55,0.1642,0,1,1
14982,1,0,1,5,0,6,0,2,0.16,0.1667,0.74,0.1642,0,5,5
14982,1,0,1,6,0,6,0,2,0.16,0.1667,0.74,0.1642,0,2,2
14982,1,0,1,7,0,6,0,2,0.16,0.1818,0.74,0.1045,1,8,9
14982,1,0,1,8,0,6,0,3,0.16,0.1818,0.93,0.1045,0,15,15
14982,1,0,1,9,0,6,0,3,0.16,0.1818,0.93,0.1045,0,20,20
14982,1,0,1,10,0,6,0,2,0.18,0.197,0.8,0.1642,5,56,61
14982,1,0,1,11,0,6,0,2,0.2,0.1818,0.69,0.3881,2,60,62
14982,1,0,1,12,0,6,0,2,0.2,0.1818,0.59,0.3582,8,90,98
14982,1,0,1,13,0,6,0,1,0.2,0.1818,0.44,0.3284,7,95,102
14982,1,0,1,14,0,6,0,1,0.2,0.1667,0.32,0.4925,12,83,95
14982,1,0,1,15,0,6,0,1,0.2,0.1667,0.32,0.4478,5,69,74
14982,1,0,1,16,0,6,0,1,0.18,0.1364,0.29,0.4478,8,68,76
14982,1,0,1,17,0,6,0,1,0.16,0.1212,0.37,0.5522,5,64,69
14982,1,0,1,18,0,6,0,1,0.14,0.1212,0.39,0.2985,3,52,55
14982,1,0,1,19,0,6,0,1,0.14,0.1212,0.36,0.2537,4,26,30
14982,1,0,1,20,0,6,0,1,0.12,0.1212,0.36,0.2537,0,28,28
14982,1,0,1,21,0,6,0,1,0.12,0.1061,0.39,0.3582,2,35,37
14982,1,0,1,22,0,6,0,1,0.12,0.1061,0.36,0.3881,1,33,34
14982,1,0,1,23,0,6,0,1,0.1,0.0606,0.39,0.4478,0,22,22
14983,1,0,1,0,0,0,0,1,0.1,0.0758,0.42,0.3881,1,24,25
14983,1,0,1,1,0,0,0,1,0.1,0.0606,0.42,0.4627,0,12,12
14983,1,0,1,2,0,0,0,1,0.1,0.0606,0.46,0.4627,0,11,11
14983,1,0,1,3,0,0,0,1,0.1,0.0758,0.46,0.4179,0,4,4
14983,1,0,1,4,0,0,0,1,0.08,0.0909,0.53,0.194,0,1,1
14983,1,0,1,5,0,0,0,1,0.08,0.0909,0.53,0.194,0,1,1
14983,1,0,1,6,0,0,0,1,0.1,0.0909,0.49,0.2836,0,1,1
14983,1,0,1,7,0,0,0,1,0.08,0.0909,0.53,0.194,1,5,6
14983,1,0,1,8,0,0,0,1,0.1,0.0909,0.49,0.2836,0,10,10
14983,1,0,1,9,0,0,0,1,0.12,0.0758,0.46,0.5224,0,19,19
14983,1,0,1,10,0,0,0,1,0.14,0.1061,0.43,0.3881,0,49,49
14983,1,0,1,11,0,0,0,1,0.16,0.1212,0.4,0.5224,2,47,49
14983,1,0,1,12,0,0,0,1,0.18,0.1364,0.37,0.4478,4,79,83
14983,1,0,1,13,0,0,0,1,0.2,0.1667,0.34,0.4478,6,69,75
14983,1,0,1,14,0,0,0,1,0.22,0.1818,0.32,0.4627,8,64,72
14983,1,0,1,15,0,0,0,1,0.22,0.197,0.35,0.3582,5,77,82
14983,1,0,1,16,0,0,0,1,0.2,0.1667,0.34,0.4478,13,79,92
14983,1,0,1,17,0,0,0,1,0.18,0.1515,0.37,0.3881,3,59,62
14983,1,0,1,18,0,0,0,1,0.16,0.1364,0.4,0.3284,4,44,48
14983,1,0,1,19,0,0,0,1,0.16,0.1364,0.43,0.3284,1,40,41
14983,1,0,1,20,0,0,0,1,0.14,0.1212,0.46,0.2537,0,38,38
14983,1,0,1,21,0,0,0,1,0.14,0.1061,0.46,0.4179,1,19,20
14983,1,0,1,22,0,0,0,1,0.14,0.1212,0.46,0.2985,5,10,15
14983,1,0,1,23,0,0,0,1,0.12,0.1364,0.5,0.194,0,6,6
14984,1,0,1,0,0,1,1,1,0.12,0.1212,0.5,0.2836,2,3,5
14984,1,0,1,1,0,1,1,1,0.12,0.1212,0.5,0.2836,1,0,1
14984,1,0,1,2,0,1,1,1,0.12,0.1212,0.5,0.2239,0,3,3
14984,1,0,1,3,0,1,1,1,0.12,0.1212,0.5,0.2239,0,1,1
14984,1,0,1,4,0,1,1,1,0.1,0.1212,0.54,0.1343,1,2,3
