Sector,Position,Fertilizer,BulbWt,Cloves,BedId
1,1,3,0.25881,11.6322,22961
1,2,4,0.20746,12.5837,23884
1,3,1,0.27453,12.0597,19642
1,4,2,0.24467,12.1001,20384
2,1,3,0.21454,11.5863,20303
2,2,4,0.16953,12.7132,21004
2,3,1,0.22504,12.047,16117
2,4,2,0.16809,11.9071,19686
3,1,4,0.2172,12.3655,26527
3,2,3,0.22551,11.6864,23574
3,3,2,0.23536,12.0258,17499
3,4,1,0.24937,11.6668,16636
4,1,4,0.20811,12.5996,24834
4,2,1,0.21138,12.1393,19946
4,3,2,0.1932,12.0792,21504
4,4,3,0.19256,11.6464,23181
5,1,4,0.19851,12.5355,24533
5,2,1,0.18603,12.3307,15009
5,3,3,0.19698,11.5608,23845
5,4,2,0.15745,11.8735,18948
6,1,2,0.20058,11.9077,20019
6,2,3,0.25346,11.7294,22228
6,3,4,0.19838,12.767,24424
6,4,1,0.25439,12.0139,13755
7,1,3,0.26578,11.7448,21087
7,2,4,0.21678,12.8531,25751
7,3,2,0.26183,12.399,20296
7,4,1,0.27506,11.9383,20038
8,1,1,0.2142,12.1034,17843
8,2,3,0.17877,11.5682,21394
8,3,4,0.20714,12.5213,27191
8,4,2,0.22803,12.2317,20202
