"Temperature" "Sales"
"1" 65 180.25
"2" 87 218.75
"3" 78 202.44
"4" 68 176.5
"5" 98 212.18
"6" 86 210.68
"7" 62 165.3
"8" 86 220.65
"9" 71 197.98
"10" 85 210.9
"11" 78 205.12
"12" 90 201.79
"13" 63 182.62
"14" 80 189.13
"15" 80 230.17
"16" 65 196.18
"17" 100 218.74
"18" 93 211.67
"19" 94 223.16
"20" 90 203.9
"21" 100 236.05
"22" 69 197.69
"23" 64 191.19
"24" 75 189.92
"25" 80 198.28
"26" 87 214.82
"27" 68 197.17
"28" 82 209.49
"29" 63 201.11
"30" 100 219.35
"31" 94 232.36
"32" 95 233.34
"33" 89 208.34
"34" 79 218.22
"35" 89 209.22
"36" 78 201.65
"37" 95 232.79
"38" 67 193.75
"39" 69 207.81
"40" 86 216.96
"41" 71 207.87
"42" 94 235.62
"43" 95 214.3
"44" 93 235.65
"45" 66 192.46
"46" 91 222.68
"47" 81 200.85
"48" 81 219.82
"49" 71 202.31
"50" 74 196.79
