"Temp" "TimeSq" "Time"
"1" 73.04 1 1
"2" 73.04 4 2
"3" 73.04 9 3
"4" 69.98 16 4
"5" 69.08 25 5
"6" 69.98 36 6
"7" 69.98 49 7
"8" 71.96 64 8
"9" 75.02 81 9
"10" 78.98 100 10
"11" 80.06 121 11
"12" 80.96 144 12
"13" 84.92 169 13
"14" 87.08 196 14
"15" 89.96 225 15
"16" 91.04 256 16
"17" 91.94 289 17
"18" 91.94 324 18
"19" 87.98 361 19
"20" 87.98 400 20
"21" 84.92 441 21
"22" 82.4 484 22
"23" 78.98 529 23
"24" 78.98 576 24
"25" 78.98 625 25
"26" 78.98 676 26
"27" 75.92 729 27
"28" 75.92 784 28
"29" 73.94 841 29
"30" 73.04 900 30
"31" 73.04 961 31
"32" 73.94 1024 32
"33" 73.94 1089 33
"34" 75.92 1156 34
"35" 78.98 1225 35
"36" 80.96 1296 36
"37" 82.04 1369 37
"38" 82.94 1444 38
"39" 87.08 1521 39
"40" 87.08 1600 40
"41" 87.98 1681 41
"42" 87.98 1764 42
"43" 87.98 1849 43
"44" 87.98 1936 44
"45" 84.02 2025 45
"46" 80.96 2116 46
"47" 82.04 2209 47
"48" 80.06 2304 48
"49" 78.98 2401 49
"50" 77 2500 50
"51" 75.02 2601 51
"52" 75.02 2704 52
"53" 73.94 2809 53
"54" 73.04 2916 54
"55" 71.06 3025 55
"56" 69.98 3136 56
"57" 73.04 3249 57
"58" 75.02 3364 58
"59" 78.08 3481 59
"60" 80.96 3600 60
"61" 84.02 3721 61
"62" 86 3844 62
"63" 87.98 3969 63
"64" 89.06 4096 64
"65" 87.98 4225 65
"66" 87.98 4356 66
"67" 87.98 4489 67
"68" 87.08 4624 68
"69" 84.92 4761 69
"70" 84.02 4900 70
"71" 82.94 5041 71
"72" 80.96 5184 72
"73" 80.6 5329 73
"74" 78.8 5476 74
"75" 66.2 5625 75
"76" 66.2 5776 76
"77" 66.2 5929 77
"78" 66.2 6084 78
"79" 66.2 6241 79
"80" 66.92 6400 80
"81" 68 6561 81
"82" 68 6724 82
"83" 66.92 6889 83
"84" 66.2 7056 84
"85" 66.02 7225 85
"86" 66.2 7396 86
"87" 66.02 7569 87
"88" 66.2 7744 88
"89" 66.02 7921 89
"90" 66.02 8100 90
"91" 66.92 8281 91
"92" 66.92 8464 92
"93" 68 8649 93
"94" 66.92 8836 94
"95" 68 9025 95
"96" 68 9216 96
"97" 68 9409 97
"98" 68 9604 98
"99" 68 9801 99
"100" 69.8 10000 100
"101" 68 10201 101
"102" 68 10404 102
"103" 68 10609 103
"104" 68 10816 104
"105" 69.8 11025 105
"106" 69.08 11236 106
"107" 71.06 11449 107
"108" 73.94 11664 108
"109" 75.92 11881 109
"110" 75.92 12100 110
"111" 77 12321 111
"112" 77 12544 112
"113" 77 12769 113
"114" 75.92 12996 114
"115" 71.96 13225 115
"116" 71.06 13456 116
"117" 69.98 13689 117
"118" 69.08 13924 118
"119" 66.02 14161 119
"120" 64.04 14400 120
"121" 62.06 14641 121
"122" 60.98 14884 122
"123" 59 15129 123
"124" 57.92 15376 124
"125" 57.92 15625 125
"126" 62.06 15876 126
"127" 64.94 16129 127
"128" 66.92 16384 128
"129" 68 16641 129
"130" 69.98 16900 130
"131" 71.96 17161 131
"132" 73.04 17424 132
"133" 73.94 17689 133
"134" 75.02 17956 134
"135" 75.92 18225 135
"136" 75.92 18496 136
"137" 75.02 18769 137
"138" 73.04 19044 138
"139" 71.06 19321 139
"140" 69.98 19600 140
"141" 69.08 19881 141
"142" 66.92 20164 142
"143" 64.94 20449 143
"144" 64.04 20736 144
"145" 64.04 21025 145
"146" 62.96 21316 146
"147" 62.06 21609 147
"148" 60.98 21904 148
"149" 60.98 22201 149
"150" 64.94 22500 150
"151" 69.08 22801 151
"152" 73.04 23104 152
"153" 75.92 23409 153
"154" 78.98 23716 154
"155" 80.96 24025 155
"156" 82.94 24336 156
"157" 84.02 24649 157
"158" 84.92 24964 158
"159" 86 25281 159
"160" 84.92 25600 160
"161" 84.02 25921 161
"162" 84.02 26244 162
"163" 78.98 26569 163
"164" 78.08 26896 164
"165" 78.08 27225 165
"166" 75.92 27556 166
"167" 75.02 27889 167
"168" 73.04 28224 168
"169" 71.06 28561 169
"170" 71.96 28900 170
"171" 71.06 29241 171
"172" 69.98 29584 172
"173" 71.06 29929 173
"174" 73.94 30276 174
"175" 75.92 30625 175
"176" 78.98 30976 176
"177" 82.04 31329 177
"178" 84.02 31684 178
"179" 84.92 32041 179
"180" 86 32400 180
"181" 87.08 32761 181
"182" 87.08 33124 182
"183" 86 33489 183
"184" 84.92 33856 184
"185" 82.94 34225 185
"186" 80.06 34596 186
"187" 77 34969 187
"188" 75.92 35344 188
"189" 73.94 35721 189
"190" 73.94 36100 190
"191" 71.06 36481 191
"192" 71.06 36864 192
"193" 69.98 37249 193
"194" 69.08 37636 194
"195" 68 38025 195
"196" 69.08 38416 196
"197" 68 38809 197
"198" 69.08 39204 198
"199" 69.08 39601 199
"200" 69.98 40000 200
"201" 73.04 40401 201
"202" 75.02 40804 202
"203" 75.02 41209 203
"204" 78.08 41616 204
"205" 75.92 42025 205
"206" 75.92 42436 206
"207" 75.02 42849 207
"208" 73.04 43264 208
"209" 69.98 43681 209
"210" 69.08 44100 210
"211" 68 44521 211
"212" 66.92 44944 212
"213" 66.02 45369 213
"214" 64.94 45796 214
"215" 64.04 46225 215
"216" 62.96 46656 216
"217" 62.6 47089 217
"218" 62.96 47524 218
"219" 62.96 47961 219
"220" 62.06 48400 220
"221" 62.06 48841 221
"222" 62.06 49284 222
"223" 64.04 49729 223
"224" 68 50176 224
"225" 71.06 50625 225
"226" 71.6 51076 226
"227" 73.4 51529 227
"228" 73.04 51984 228
"229" 73.4 52441 229
"230" 69.8 52900 230
"231" 73.94 53361 231
"232" 73.04 53824 232
"233" 75.92 54289 233
"234" 75.02 54756 234
"235" 75.02 55225 235
"236" 75.92 55696 236
"237" 73.04 56169 237
"238" 73.04 56644 238
"239" 71.06 57121 239
"240" 66.92 57600 240
"241" 66.02 58081 241
"242" 64.04 58564 242
"243" 62.06 59049 243
"244" 60.08 59536 244
"245" 59 60025 245
"246" 59 60516 246
"247" 59 61009 247
"248" 59 61504 248
"249" 59 62001 249
"250" 57.2 62500 250
"251" 57.92 63001 251
"252" 57.2 63504 252
"253" 57.92 64009 253
"254" 57.2 64516 254
"255" 57.02 65025 255
"256" 55.94 65536 256
"257" 55.94 66049 257
"258" 60.08 66564 258
"259" 64.04 67081 259
"260" 68 67600 260
"261" 71.06 68121 261
"262" 73.4 68644 262
"263" 73.04 69169 263
"264" 73.04 69696 264
"265" 75.02 70225 265
"266" 75.92 70756 266
"267" 75.92 71289 267
"268" 77 71824 268
"269" 75.92 72361 269
"270" 75.02 72900 270
"271" 71.96 73441 271
"272" 69.08 73984 272
"273" 66.92 74529 273
"274" 64.04 75076 274
"275" 64.04 75625 275
"276" 62.06 76176 276
"277" 59 76729 277
"278" 59 77284 278
"279" 53.96 77841 279
"280" 57.02 78400 280
"281" 55.04 78961 281
"282" 57.02 79524 282
"283" 62.06 80089 283
"284" 64.94 80656 284
"285" 69.08 81225 285
"286" 71.96 81796 286
"287" 75.92 82369 287
"288" 77 82944 288
"289" 77 83521 289
"290" 75.92 84100 290
"291" 75.92 84681 291
"292" 77 85264 292
"293" 75.02 85849 293
"294" 73.94 86436 294
"295" 73.04 87025 295
"296" 71.96 87616 296
"297" 71.06 88209 297
"298" 69.98 88804 298
"299" 69.08 89401 299
"300" 66.92 90000 300
"301" 66.92 90601 301
"302" 66.92 91204 302
"303" 66.92 91809 303
"304" 66.92 92416 304
"305" 66.02 93025 305
"306" 66.02 93636 306
"307" 64.94 94249 307
"308" 66.02 94864 308
"309" 64.94 95481 309
"310" 66.02 96100 310
"311" 68 96721 311
"312" 66.92 97344 312
"313" 68 97969 313
"314" 66.92 98596 314
"315" 66.92 99225 315
"316" 66.02 99856 316
"317" 66.02 100489 317
"318" 64.04 101124 318
"319" 62.96 101761 319
"320" 62.96 102400 320
"321" 62.96 103041 321
"322" 62.96 103684 322
"323" 62.06 104329 323
"324" 60.98 104976 324
"325" 60.98 105625 325
"326" 60.08 106276 326
"327" 59 106929 327
"328" 57.92 107584 328
"329" 57.02 108241 329
"330" 57.92 108900 330
"331" 60.08 109561 331
"332" 66.02 110224 332
"333" 71.96 110889 333
"334" 75.02 111556 334
"335" 78.08 112225 335
"336" 77 112896 336
"337" 80.06 113569 337
"338" 82.04 114244 338
"339" 82.94 114921 339
"340" 82.04 115600 340
"341" 80.96 116281 341
"342" 78.98 116964 342
"343" 75.92 117649 343
"344" 73.94 118336 344
"345" 71.06 119025 345
"346" 69.98 119716 346
"347" 69.08 120409 347
"348" 68 121104 348
"349" 66.92 121801 349
"350" 66.02 122500 350
"351" 64.94 123201 351
"352" 64.04 123904 352
"353" 64.94 124609 353
"354" 64.4 125316 354
"355" 64.4 126025 355
"356" 64.4 126736 356
"357" 64.94 127449 357
